RowNumber,CustomerId,Surname,education,Geography,Gender,Age,Tenure,marital,IsActiveMember,EstimatedSalary,HasApp,HasLoan,HasInsurance,HasCrCard,NumOfProducts
1,15634602,Hargrave,tertiary,Takoradi,Female,42,2,married,1,101348.88,1,1,1,1,4
2,15647311,Hill,secondary,Takoradi,Female,41,1,single,1,112542.58,0,0,1,1,2
3,15619304,Onio,secondary,Sunyani,Female,42,8,married,0,113931.57,0,0,0,0,0
4,15701354,Boni,unknown,Sunyani,Female,39,1,married,0,93826.63,1,0,0,0,1
5,15737888,Mitchell,unknown,Takoradi,Female,43,2,single,1,79084.1,1,0,0,0,1
6,15574012,Chu,tertiary,Koforidua,Male,44,8,married,0,149756.71,0,0,1,1,2
7,15592531,Bartlett,tertiary,Cape Coast,Male,50,7,single,1,10062.8,1,0,1,1,3
8,15656148,Obinna,tertiary,Sunyani,Female,29,4,divorced,0,119346.88,1,0,1,1,3
9,15792365,He,primary,Takoradi,Male,44,4,married,1,74940.5,0,0,0,0,0
10,15592389,H?,secondary,Tamale,Male,27,2,single,1,71725.73,1,0,0,0,1
11,15767821,Bearce,secondary,Kumasi,Male,31,6,divorced,0,80181.12,0,0,0,0,0
12,15737173,Andrews,secondary,Koforidua,Male,24,3,single,0,76390.01,1,0,0,0,1
13,15632264,Kay,secondary,Cape Coast,Female,34,10,married,0,26260.98,0,0,0,0,0
14,15691483,Chin,unknown,Kumasi,Female,25,5,married,0,190857.79,1,0,0,0,1
15,15600882,Scott,secondary,Tamale,Female,35,7,married,1,65951.65,0,0,0,0,0
16,15643966,Goforth,primary,Sunyani,Male,45,3,married,1,64327.26,1,0,0,0,1
17,15737452,Romeo,unknown,Takoradi,Male,58,1,single,0,5097.67,1,0,0,0,1
18,15788218,Henderson,primary,Tamale,Female,24,3,married,1,14406.41,1,0,0,0,1
19,15661507,Muldrow,primary,Kumasi,Male,45,6,married,0,158684.81,1,0,0,0,1
20,15568982,Hao,secondary,Sunyani,Female,24,3,married,1,54724.03,0,0,0,0,0
21,15577657,McDonald,secondary,Takoradi,Male,41,8,married,1,170886.17,1,0,0,0,1
22,15597945,Dellucci,tertiary,Koforidua,Female,32,8,married,0,138555.46,0,0,1,1,2
23,15699309,Gerasimov,primary,Takoradi,Female,38,4,single,0,118913.53,1,0,0,0,1
24,15725737,Mosman,secondary,Takoradi,Male,46,3,married,1,8487.75,0,0,0,0,0
25,15625047,Yen,primary,Tamale,Female,38,5,married,1,187616.16,1,0,0,0,1
26,15738191,Maclean,secondary,Tamale,Male,25,5,married,1,124508.29,0,0,0,0,0
27,15736816,Young,tertiary,Tamale,Male,36,5,single,1,170041.95,1,0,1,1,3
28,15700772,Nebechi,secondary,Sunyani,Male,44,5,married,0,38433.35,0,0,0,0,0
29,15728693,McWilliams,secondary,Tamale,Female,43,5,single,1,100187.43,0,0,0,0,0
30,15656300,Lucciano,secondary,Tamale,Male,29,5,single,1,53483.21,0,0,0,0,0
31,15589475,Azikiwe,secondary,Accra,Female,39,5,married,0,140469.38,1,0,0,0,1
32,15706552,Odinakachukwu,tertiary,Cape Coast,Male,36,5,married,1,156731.91,1,0,1,1,3
33,15750181,Sanderson,secondary,Koforidua,Male,41,5,married,0,81898.81,0,0,0,0,0
34,15659428,Maggard,secondary,Kumasi,Female,42,5,married,1,34410.55,0,0,0,0,0
35,15732963,Clements,tertiary,Tamale,Female,29,5,married,1,142033.07,1,0,0,1,2
36,15794171,Lombardo,secondary,Sunyani,Female,45,5,divorced,0,27822.99,0,0,0,0,0
37,15788448,Watson,secondary,Cape Coast,Male,31,5,married,1,114066.77,0,0,0,0,0
38,15729599,Lorenzo,secondary,Sunyani,Male,33,5,married,1,98453.45,1,0,0,0,1
39,15717426,Armstrong,secondary,Takoradi,Male,36,5,divorced,1,40812.9,1,0,0,0,1
40,15585768,Cameron,secondary,Takoradi,Male,41,5,single,1,178074.04,0,0,0,0,0
41,15619360,Hsiao,secondary,Cape Coast,Male,40,5,divorced,0,70154.22,1,0,0,0,1
42,15738148,Clarke,secondary,Cape Coast,Female,51,5,married,0,181297.65,1,0,0,0,1
43,15687946,Osborne,unknown,Accra,Female,61,5,married,1,94153.83,1,0,0,0,1
44,15755196,Lavine,secondary,Koforidua,Female,49,5,married,0,194365.76,1,0,0,0,1
45,15684171,Bianchi,unknown,Takoradi,Female,61,5,married,1,158338.39,1,0,0,0,1
46,15754849,Tyler,primary,Takoradi,Female,32,5,single,1,126517.46,1,0,0,0,1
47,15602280,Martin,tertiary,Accra,Female,27,5,married,1,119708.21,1,0,0,1,2
48,15771573,Okagbue,secondary,Accra,Female,39,5,married,1,117622.8,1,0,0,0,1
49,15766205,Yin,secondary,Accra,Male,38,5,divorced,1,90878.13,0,0,0,0,0
